état de la liste des événements;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Statut de la Réservation;Date de l'évènement;nom du client;Comte Clients;Nom de la salle;Nom de l'événement ou de type;Heure de début;Heure de fin;nom de l’événement;Contrat #;Style d’événementt;Nom du contact
Type 4;03-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Marina;Location de salle seulement;07H00;20H00;SQ Démonstration a confirmer;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 1;03-11-2024;PSP Collège miliaire royal de Saint-Jean;2;Boîte à lunch;Boîte à lunch;08H00;10H00;Boites à lunch diner;PX24090427;ANNEXE MDN;Patrick Lévesque
Type 4;03-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Repas cafétéria;Repas cafétéria;18H00;20H00;SQ;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 1;04-11-2024;CMR St-Jean / Escadre des élèves-officiers;1;Boîte à lunch;Boîte à lunch;06H00;06H15;Boite à lunch armée diner;PX24102904;ANNEXE MDN;Hugo Martel
Type 4;04-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Marina;Location de salle seulement;07H00;20H00;SQ;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 4;04-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Repas cafétéria;Repas cafétéria;07H00;20H00;SQ;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 1;04-11-2024;CMR St-Jean / Escadre des élèves-officiers;15;Petit Fort;Location de salle seulement;12H00;13H00;Rencontre informatives échange international.;PX24103103;NE S'APPLIQUE PAS;Pierre Thony Lubens
Type 1;04-11-2024;PSP Collège miliaire royal de Saint-Jean;1;C16;Location de salle seulement;17H00;19H00;Entraînements Remparts, Supp PT, Milskills et clubs;PX24072404;RÉSERVATION;Patrick Lévesque
Type 1;05-11-2024;CMR St-Jean / Escadre des élèves-officiers;1;Boîte à lunch;Boîte à lunch;06H00;06H15;Boite à lunch armée diner;PX24102905;ANNEXE MDN;Hugo Martel
Type 4;05-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Marina;Location de salle seulement;07H00;20H00;SQ;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 4;05-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Repas cafétéria;Repas cafétéria;07H00;20H00;SQ;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 2;05-11-2024;Direction SCC;4;Aquarium;Location de salle seulement;09H00;10H00;Rencontre des événements avec cuisine;PX24080623;;Alexandra Nunes
Type 1;05-11-2024;CMR St-Jean / Escadre des études;100;Grand Fort;Réunion;11H00;14H00;Conférence: Jour de l'élection présidentielle américaine;PX24091705;RÉSERVATION;Rosemarie Hamel
Type 1;05-11-2024;PSP Collège miliaire royal de Saint-Jean;1;C16;Location de salle seulement;17H00;19H00;Entraînements Remparts, Supp PT, Milskills et clubs;PX24072404;;Patrick Lévesque
Type 2;05-11-2024;Mess Saint-Maurice;50;Mess St-Maurice;Pauses;18H00;18H30;Pause-café;PX24081017;;Solange Tardif
Type 1;06-11-2024;CMR St-Jean / Escadre des élèves-officiers;1;Boîte à lunch;Boîte à lunch;06H00;06H15;Boite à lunch armée diner;PX24102906;ANNEXE MDN;Hugo Martel
Type 4;06-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Richelieu;Location de salle seulement;07H00;16H00;SQ Exercice au sous sol;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 4;06-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Portage;Location de salle seulement;07H00;16H00;SQ Sous sol;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 4;06-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Repas cafétéria;Repas cafétéria;07H00;20H00;SQ;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 4;06-11-2024;Sûreté du Québec -Technicien en explosif (UO 8526);12;Marina;Location de salle seulement;07H00;20H00;Sureté du québec;PX24071615;NE S'APPLIQUE PAS;Lt Yan Marc St-Pierre
Type 1;06-11-2024;FNP Fond non public Collège Militaire Royale;60;Petit Fort;Pauses;09H00;10H00;Café de l'équipe de leadership;PX24090308;RELIÉ À UNE FACTURE;Francois Aubert
Type 2;06-11-2024;Direction SCC;7;Aquarium;Location de salle seulement;10H30;12H00;Réunion SCC;PX24071519;;Julia Kampis
Type 2;06-11-2024;Direction générale CFSJ;50;Grand Fort;Dîner;11H30;13H00;Dîner CCMTDN;PX24071616;NE S'APPLIQUE PAS;Caroline Berthiaume
